ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,PNT
24,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,286.5
24,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,125
24,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,94
24,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
24,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,262
24,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,83
24,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,26
24,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,102
24,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,
24,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,245
25,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,291
25,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,170
25,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,83
25,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
25,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,265
25,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,72
25,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,5
25,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,112
25,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,
25,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,248
26,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,
26,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,168
26,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,
26,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
26,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,255
26,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,
26,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,
26,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,
26,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,
26,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,
27,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,314
27,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,190.5
27,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,92
27,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,274
27,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,263
27,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,98
27,okau,-17.3923,13.606783,ongokua,-16.656,13.423,3
27,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,111.5
27,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
27,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,232
28,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,288
28,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,191
28,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,72.5
28,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,
28,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,260
28,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,85.5
28,okau,-17.3923,13.606783,ongokua,-16.656,13.423,350
28,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,115
28,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
28,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,234
29,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,295
29,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,226
29,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,56
29,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,
29,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,259
29,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,70
29,okau,-17.3923,13.606783,ongokua,-16.656,13.423,
29,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,100
29,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
