ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
18,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
18,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,255.5,263.032,7.531982,35788.93
18,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,79,73.94188,-5.058121,25130.32
18,okau,-17.3923,13.606783,ongokua,-16.656,13.423,3,346.4698,-16.53015,83802.48
18,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,101,117.1381,16.13806,25282.81
18,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
18,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,170,243.0645,73.06454,26581.13
19,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,,318.1695,,57897.14
19,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,165,161.9184,-3.081573,77045.01
19,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,81,73.18396,-7.81604,19298.63
19,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
19,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,265,263.032,-1.968018,35788.93
19,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,83.5,73.94188,-9.558121,25130.32
19,okau,-17.3923,13.606783,ongokua,-16.656,13.423,338,346.4698,8.469849,83802.48
19,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,,117.1381,,25282.81
19,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
19,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,,243.0645,,26581.13
20,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,332,322.1118,-9.888153,56092.68
20,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,180,158.7455,-21.25455,77388.35
20,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,93,73.50836,-19.49164,23602.36
20,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
20,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,275,264.1505,-10.84952,31532.82
20,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,73,74.09349,1.093491,29435.11
20,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,1,349.4171,-11.58289,84030.81
20,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,98,111.3453,13.34528,28616.93
20,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,112,92.47115,-19.52885,87078.88
20,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,207,240.8158,33.81577,22384.75
21,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,341,322.1118,-18.88815,56092.68
21,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,154,158.7455,4.745453,77388.35
21,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,87,73.50836,-13.49164,23602.36
21,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
21,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,266,264.1505,-1.849518,31532.82
21,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,80,74.09349,-5.906509,29435.11
21,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,351,349.4171,-1.582886,84030.81
21,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,120,111.3453,-8.654716,28616.93
21,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,92,92.47115,0.4711456,87078.88
21,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,229,240.8158,11.81577,22384.75
22,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,315,322.1118,7.111847,56092.68
22,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,170,158.7455,-11.25455,77388.35
22,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,70.5,73.50836,3.008362,23602.36
22,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
22,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,268,264.1505,-3.849518,31532.82
22,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,73,74.09349,1.093491,29435.11
22,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,353,349.4171,-3.582886,84030.81
22,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,100.5,111.3453,10.84528,28616.93
22,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,,92.47115,,87078.88
22,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,244,240.8158,-3.184235,22384.75
23,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,326.5,322.1118,-4.388153,56092.68
23,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,168.5,158.7455,-9.754547,77388.35
23,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,82,73.50836,-8.491638,23602.36
23,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
23,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,259.5,264.1505,4.650482,31532.82
23,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,80,74.09349,-5.906509,29435.11
23,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,338,349.4171,11.41711,84030.81
23,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,116,111.3453,-4.654716,28616.93
23,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,,92.47115,,87078.88
23,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,242,240.8158,-1.184235,22384.75
24,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,286.5,322.1118,35.61185,56092.68
24,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,125,158.7455,33.74545,77388.35
24,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,94,73.50836,-20.49164,23602.36
24,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
24,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,262,264.1505,2.150482,31532.82
24,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,83,74.09349,-8.906509,29435.11
24,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,26,349.4171,-36.58289,84030.81
24,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,102,111.3453,9.345284,28616.93
24,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,,92.47115,,87078.88
24,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,245,240.8158,-4.184235,22384.75
25,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,291,322.1118,31.11185,56092.68
25,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,170,158.7455,-11.25455,77388.35
25,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,83,73.50836,-9.491638,23602.36
25,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
25,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,265,264.1505,-0.8495178,31532.82
25,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,72,74.09349,2.093491,29435.11
25,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,5,349.4171,-15.58289,84030.81
25,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,112,111.3453,-0.6547165,28616.93
25,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,,92.47115,,87078.88
25,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,248,240.8158,-7.184235,22384.75
26,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,,322.1118,,56092.68
26,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,168,158.7455,-9.254547,77388.35
26,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,,73.50836,,23602.36
26,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,,277.1333,,120553.9
26,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,255,264.1505,9.150482,31532.82
26,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,,74.09349,,29435.11
26,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,,349.4171,,84030.81
26,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,,111.3453,,28616.93
26,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,,92.47115,,87078.88
26,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,,240.8158,,22384.75
27,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,314,318.1695,4.169464,57897.14
