Subject,Front,Trial,Degree,RT,Acc
16,0,9,240,10.25,1
16,0,10,60,16.05,0
16,0,11,180,10.9,0
16,0,12,60,12.12,0
17,0,1,60,9.33,1
17,0,2,300,4.08,1
17,0,3,60,7.85,1
17,0,4,240,3.61,1
17,0,5,120,5.64,1
17,0,6,300,2.21,1
17,0,7,180,7.05,0
17,0,8,0,3.36,1
17,0,9,0,1.9,1
17,0,10,120,2.72,1
17,0,11,180,2.22,0
17,0,12,240,4.43,1
17,1,1,240,3.38,1
17,1,2,300,3.33,1
17,1,3,240,4.82,1
17,1,4,0,4.73,1
17,1,5,180,5.53,1
17,1,6,120,3.88,1
17,1,7,0,3.07,1
17,1,8,300,3.26,1
17,1,9,180,6.08,1
17,1,10,60,2.85,1
17,1,11,60,2.82,1
17,1,12,120,2.78,1
18,0,1,300,14.95,1
18,0,2,120,11.77,1
18,0,3,240,17.02,1
18,0,4,0,15.67,1
18,0,5,60,10.62,1
18,0,6,180,25.75,1
18,0,7,0,8.68,1
18,0,8,300,9.39,1
18,0,9,180,8.92,0
18,0,10,240,13.27,1
18,0,11,120,24.85,1
18,0,12,60,11.16,1
18,1,1,120,8.47,1
18,1,2,180,10.13,1
18,1,3,0,5.67,1
18,1,4,300,10.28,1
18,1,5,60,6.1,1
18,1,6,0,6.13,1
18,1,7,60,9.15,1
18,1,8,120,6.67,1
18,1,9,240,6.97,1
18,1,10,300,6.72,1
18,1,11,180,9.5,1
18,1,12,240,5.12,1
19,0,1,120,10.2,0
19,0,2,240,4.13,1
19,0,3,180,8.55,1
19,0,4,300,4.08,1
19,0,5,60,3.3,1
19,0,6,60,2.45,1
19,0,7,300,2.13,1
19,0,8,0,1.75,1
19,0,9,180,3.75,1
19,0,10,0,1.75,1
19,0,11,240,3.5,1
19,0,12,120,4.48,1
19,1,1,180,9.31,0
19,1,2,120,3.73,1
19,1,3,300,8.5,1
19,1,4,240,2.66,1
19,1,5,300,1.92,1
19,1,6,120,3.42,1
19,1,7,0,1.55,1
19,1,8,0,1.7,1
19,1,9,180,4.08,1
19,1,10,60,1.45,1
19,1,11,60,1.36,1
19,1,12,240,1.73,1
20,0,1,300,28.74,1
20,0,2,60,21.93,1
20,0,3,240,25.37,1
20,0,4,120,9.43,0
20,0,5,180,8.56,0
20,0,6,0,5.43,1
20,0,7,180,4.15,1
20,0,8,300,3.47,0
20,0,9,60,4.35,0
20,0,10,120,2.91,1
20,0,11,240,2.95,0
20,0,12,0,27.27,1
20,1,1,60,30.13,1
20,1,2,180,7.12,0
20,1,3,300,9.28,1
20,1,4,180,8.15,1
20,1,5,0,27.67,0
20,1,6,0,16.45,0
20,1,7,120,8.2,1
20,1,8,240,8.97,0
20,1,9,240,6.85,1
20,1,10,300,4.12,1
20,1,11,60,16.88,1
20,1,12,120,5.5,0
23,0,1,120,21.2,0
23,0,2,240,15.47,0
23,0,3,0,14.35,1
23,0,4,120,10.4,1
23,0,5,60,7.18,1
23,0,6,180,12.36,1
23,0,7,180,21.37,1
23,0,8,300,13.9,1
23,0,9,300,7.11,1
23,0,10,240,12.05,1
23,0,11,60,7.08,1
23,0,12,0,9.1,1
23,1,1,300,16.38,1
23,1,2,0,10.28,1
23,1,3,120,11.28,1
23,1,4,240,12.5,1
23,1,5,120,9.08,1
23,1,6,0,8.15,1
23,1,7,240,10.77,1
23,1,8,180,24,0
23,1,9,60,9.62,1
23,1,10,180,10.32,0
23,1,11,300,10.5,1
23,1,12,60,11.73,1
24,0,1,120,31.24,0
24,0,2,180,20.25,1
24,0,3,0,12.95,1
24,0,4,120,16.78,0
24,0,5,300,9.46,1
24,0,6,0,11.26,1
24,0,7,180,8.38,1
24,0,8,60,9.68,1
24,0,9,240,7.73,0
24,0,10,60,8.25,1
24,0,11,300,8.78,1
24,0,12,240,5.58,1
24,1,1,120,10.42,0
24,1,2,180,11.43,1
24,1,3,300,10.52,1
24,1,4,240,11.2,1
24,1,5,0,8.38,0
24,1,6,60,13.22,1
24,1,7,120,14.7,1
24,1,8,0,9.73,0
24,1,9,60,8.72,1
24,1,10,240,9.37,0
24,1,11,300,7.4,0
24,1,12,180,8.95,0
25,0,1,300,8.67,0
25,0,2,240,8.11,1
25,0,3,0,5.39,1
25,0,4,60,4.55,1
25,0,5,120,6.38,1
25,0,6,180,5.5,0
25,0,7,180,5.21,0
25,0,8,240,3.96,0
25,0,9,60,3.61,1
25,0,10,0,4.51,1
25,0,11,300,5.41,1
25,0,12,120,4.78,1
25,1,1,300,12.68,1
25,1,2,60,10.12,0
25,1,3,120,13.25,1
25,1,4,180,10.72,1
25,1,5,180,16.25,1
25,1,6,60,6.38,1
25,1,7,0,16.8,1
25,1,8,240,4.33,0
25,1,9,120,6.56,1
25,1,10,0,6.69,1
25,1,11,240,7.7,0
25,1,12,300,7.18,0
26,0,1,120,4.27,1
26,0,2,0,5.78,0
26,0,3,180,4.13,1
26,0,4,300,2.37,0
26,0,5,240,2.41,1
26,0,6,60,2.88,0
26,0,7,180,2.05,0
26,0,8,0,1.66,1
26,0,9,120,1.88,0
26,0,10,240,1.93,1
26,0,11,300,14,0
26,0,12,60,7.33,1
27,0,1,300,13,1
27,0,2,120,5.28,1
27,0,3,180,7.15,1
27,0,4,0,7.13,0
27,0,5,240,12.42,0
27,0,6,60,9.77,1
27,0,7,180,11.13,1
27,0,8,120,5.27,1
27,0,9,0,4.3,1
27,0,10,240,5.18,1
27,0,11,60,4.32,1
27,0,12,300,3.83,1
27,1,1,0,6.27,1
27,1,2,180,11.58,1
27,1,3,180,19.7,1
27,1,4,300,6.58,1
27,1,5,240,8.47,1
27,1,6,120,5.7,1
27,1,7,0,3.72,1
27,1,8,120,5.68,1
27,1,9,60,3.71,1
27,1,10,300,3.4,1
27,1,11,240,2.87,1
27,1,12,60,6.35,1
28,0,1,240,15.84,0
28,0,2,300,12.02,0
28,0,3,0,8.57,1
28,0,4,300,11.15,1
28,0,5,120,10.73,1
28,0,6,0,8,1
28,0,7,240,6.37,1
28,0,8,120,9.13,0
28,0,9,180,8.35,0
28,0,10,180,12.82,0
28,0,11,60,10.28,1
28,0,12,60,9.77,1
28,1,1,180,11.2,1
28,1,2,120,7.42,0
28,1,3,180,6.93,1
28,1,4,300,6.02,1
28,1,5,300,8.58,1
28,1,6,120,6.27,1
28,1,7,0,6.55,1
28,1,8,240,7.8,1
